episode,p1_wins,p2_wins,draws,avg_game_length,epsilon,loss,q_value_mean,rolling_p1_wr,rolling_p2_wr,rolling_draw_wr,rolling_game_length,rolling_loss
19,1,0,0,26,0.9473552137914398,0.0,-0.0330358911305666,21.052631578947366,78.94736842105263,0.0,35.8421052631579,0.0020595030172875055
20,1,0,0,73,0.9445131481500655,0.011427629739046097,-0.04316505044698715,25.0,75.0,0.0,37.7,0.002527909353375435
21,0,1,0,59,0.9416796087056153,0.0,-0.03337708115577698,23.809523809523807,76.19047619047619,0.0,38.714285714285715,0.002407532717500414
22,1,0,0,22,0.9388545698794984,0.0,-0.03412923216819763,27.27272727272727,72.72727272727273,0.0,37.95454545454545,0.0022980994121594863
23,0,1,0,20,0.93603800616986,0.0,-0.03679274767637253,26.08695652173913,73.91304347826086,0.0,37.17391304347826,0.0021981820464134216
24,0,1,0,52,0.9332298921513504,0.0,-0.04156106188893318,25.0,75.0,0.0,37.791666666666664,0.0021065911278128624
25,0,1,0,18,0.9304302024748964,0.013632104732096195,-0.02931062380472819,24.0,76.0,0.0,37.0,0.0025676116719841957
26,0,1,0,44,0.9276389118674717,0.0,-0.05735659599304199,23.076923076923077,76.92307692307693,0.0,37.26923076923077,0.0024688573769078804
27,1,0,0,28,0.9248559951318693,0.0,-0.040111529640853405,25.925925925925924,74.07407407407408,0.0,36.925925925925924,0.002377418214800181
28,0,1,0,23,0.9220814271464737,0.0,-0.04300165735185146,25.0,75.0,0.0,36.42857142857143,0.0022925104214144604
29,0,1,0,20,0.9193151828650342,0.0,0.0,24.137931034482758,75.86206896551724,0.0,35.86206896551724,0.00221345833791741
30,1,0,0,41,0.9165572373164391,0.0187518373131752,-0.039615773409605023,26.666666666666668,73.33333333333333,0.0,36.03333333333333,0.0027647376370926696
31,1,0,0,17,0.9138075656044898,0.0,-0.04154849052429199,29.03225806451613,70.96774193548387,0.0,35.41935483870968,0.002675552552025164
32,1,0,0,34,0.9110661429076764,0.0,-0.053641170263290405,31.25,68.75,0.0,35.375,0.002591941534774378
33,0,1,0,26,0.9083329444789534,0.0,-0.04542575404047966,30.303030303030305,69.6969696969697,0.0,35.09090909090909,0.002513397851902427
34,0,1,0,36,0.9056079456455165,0.0,-0.03690571213761965,29.411764705882355,70.58823529411765,0.0,35.11764705882353,0.002439474385670003
35,1,0,0,71,0.90289112180858,0.02052982710301876,-0.04627786129713059,31.428571428571427,68.57142857142857,0.0,36.142857142857146,0.0029563416061656814
36,0,1,0,38,0.9001824484431542,0.0,-0.05532320588827133,30.555555555555557,69.44444444444444,0.0,36.19444444444444,0.0028742210059944126
37,1,0,0,32,0.8974819010978248,0.0,-0.051066216081380844,32.432432432432435,67.56756756756756,0.0,36.08108108108108,0.002796539357183753
38,0,1,0,40,0.8947894553945313,0.0,-0.04601784497499466,31.57894736842105,68.42105263157895,0.0,36.18421052631579,0.002722946216205233
39,0,1,0,39,0.8921050870283477,0.0,-0.038775527849793434,30.76923076923077,69.23076923076923,0.0,36.256410256410255,0.002653127082456381
40,0,1,0,27,0.8894287717672626,0.034192271530628204,0.0,30.0,70.0,0.0,36.025,0.0034416056936606766
41,1,0,0,25,0.8867604854519608,0.0,-0.05476795261104902,31.70731707317073,68.29268292682927,0.0,35.75609756097561,0.0033576640913762696
42,0,1,0,44,0.884100203995605,0.0,-0.05937212239950895,30.952380952380953,69.04761904761905,0.0,35.95238095238095,0.003277719708248263
43,0,1,0,32,0.8814479033836181,0.0,-0.06476535946130753,30.23255813953488,69.76744186046511,0.0,35.86046511627907,0.0032014936685215594
44,0,1,0,31,0.8788035596734672,0.0,-0.05971299111843109,29.545454545454547,70.45454545454545,0.0,35.75,0.003128732448782433
45,0,1,0,26,0.8761671489944468,0.01707921363413334,-0.07017015169064204,28.888888888888886,71.11111111111111,0.0,35.53333333333333,0.003438743141790231
46,1,0,0,45,0.8735386475474635,0.0,-0.07968460023403168,30.434782608695656,69.56521739130434,0.0,35.73913043478261,0.003363987856099139
47,1,0,0,32,0.8709180316048211,0.0,-0.04972989401883549,31.914893617021278,68.08510638297872,0.0,35.659574468085104,0.003292413646394902
48,1,0,0,39,0.8683052775100066,0.0,-0.04485442116856575,33.33333333333333,66.66666666666666,0.0,35.729166666666664,0.0032238216954283416
49,1,0,0,26,0.8657003616774767,0.0,-0.0591909185051918,34.69387755102041,65.3061224489796,0.0,35.53061224489796,0.003158029415929804
50,1,0,0,31,0.8631032605924442,0.023627420887351036,-0.050975977629423144,36.0,64.0,0.0,35.44,0.0035674172453582288
51,1,0,0,12,0.860513950810667,0.0,-0.06779916863888502,36.0,64.0,0.0,35.28,0.0035674172453582288
52,0,1,0,48,0.857932408958235,0.0,-0.05672011384740472,36.0,64.0,0.0,35.5,0.0035674172453582288
53,1,0,0,40,0.8553586117313603,0.0,-0.04869456635788083,38.0,62.0,0.0,36.04,0.0035674172453582288
54,0,1,0,14,0.8527925358961662,0.0,-0.054948529601097106,36.0,64.0,0.0,35.34,0.0035674172453582288
55,1,0,0,42,0.8502341582884777,0.03306249529123306,-0.04474728256464004,36.0,64.0,0.0,35.4,0.003987708911299705
56,1,0,0,32,0.8476834558136123,0.0,-0.07762479931116104,38.0,62.0,0.0,34.08,0.003987708911299705
57,0,1,0,52,0.8451404054461714,0.0,-0.06486918218433857,38.0,62.0,0.0,33.86,0.003987708911299705
58,0,1,0,21,0.8426049842298329,0.0,-0.04072029888629913,38.0,62.0,0.0,34.0,0.003987708911299705
59,1,0,0,20,0.8400771692771434,0.0,-0.04640531167387962,40.0,60.0,0.0,33.62,0.003987708911299705
60,1,0,0,34,0.837556937769312,0.023563262075185776,-0.052972967425982155,42.0,57.99999999999999,0.0,33.32,0.0041766676865518096
61,0,1,0,22,0.835044266956004,0.0,0.0,42.0,57.99999999999999,0.0,33.3,0.0041766676865518096
62,1,0,0,36,0.8325391341551359,0.0,-0.05255621112883091,44.0,56.00000000000001,0.0,33.08,0.0041766676865518096
63,0,1,0,23,0.8300415167526705,0.0,-0.04232247080653906,44.0,56.00000000000001,0.0,33.04,0.0041766676865518096
