episode,p1_wins,p2_wins,draws,avg_game_length,epsilon,loss,q_value_mean,rolling_p1_wr,rolling_p2_wr,rolling_draw_wr,rolling_game_length,rolling_loss
62,1,0,0,55,0.736559652908221,0.0,0.11266284249722958,50.0,50.0,0.0,42.98,0.0013107226963620633
63,0,1,0,63,0.7328768546436799,0.0,0.14634681530296803,50.0,50.0,0.0,43.38,0.0013107226963620633
64,1,0,0,55,0.7292124703704616,0.0,0.10729264343778293,52.0,48.0,0.0,44.28,0.0013107226963620633
65,1,0,0,42,0.7255664080186093,0.0,0.12675529811531305,54.0,46.0,0.0,43.54,0.0013107226963620633
66,0,1,0,29,0.7219385759785162,0.0,0.1323068756610155,52.0,48.0,0.0,42.52,0.0013107226963620633
67,1,0,0,44,0.7183288830986236,0.0,0.12413551179426056,52.0,48.0,0.0,43.0,0.0013107226963620633
68,0,1,0,18,0.7147372386831305,0.0,0.10981201628843944,52.0,48.0,0.0,42.64,0.0013107226963620633
69,1,0,0,49,0.7111635524897149,0.0,0.11070037226785313,52.0,48.0,0.0,42.96,0.0013107226963620633
70,0,1,0,27,0.7076077347272662,0.02434607408940792,0.11473796682225333,52.0,48.0,0.0,42.7,0.0017861944437026977
71,1,0,0,47,0.7040696960536299,0.0,0.12462217435240745,54.0,46.0,0.0,42.06,0.0017861944437026977
72,1,0,0,28,0.7005493475733617,0.0,0.12101670478781064,56.00000000000001,44.0,0.0,42.08,0.0017861944437026977
73,0,1,0,19,0.697046600835495,0.0,0.12851374809231078,56.00000000000001,44.0,0.0,41.6,0.0017861944437026977
74,0,1,0,24,0.6935613678313175,0.0,0.13984530232846737,56.00000000000001,44.0,0.0,41.54,0.0017861944437026977
75,1,0,0,19,0.6900935609921609,0.0,0.13908148556947708,56.00000000000001,44.0,0.0,41.08,0.0017861944437026977
76,1,0,0,37,0.6866430931872001,0.0,0.13129646617632645,57.99999999999999,42.0,0.0,41.34,0.0017861944437026977
77,1,0,0,37,0.6832098777212641,0.0,0.11363897951585906,60.0,40.0,0.0,41.02,0.0017861944437026977
78,1,0,0,35,0.6797938283326578,0.0,0.11208573790887992,62.0,38.0,0.0,41.02,0.0017861944437026977
79,0,1,0,38,0.6763948591909945,0.0,0.1129643815484914,60.0,40.0,0.0,41.06,0.0017861944437026977
80,0,1,0,27,0.6730128848950395,0.023834267631173134,0.10827492591407564,60.0,40.0,0.0,40.52,0.00224465494742617
81,0,1,0,23,0.6696478204705644,0.0,0.13855054043233395,60.0,40.0,0.0,40.38,0.00224465494742617
82,0,1,0,47,0.6662995813682115,0.0,0.1309516062339147,60.0,40.0,0.0,40.1,0.00224465494742617
83,0,1,0,45,0.6629680834613705,0.0,0.14863594621419907,60.0,40.0,0.0,39.28,0.00224465494742617
84,1,0,0,28,0.6596532430440636,0.0,0.13290427550673484,62.0,38.0,0.0,39.22,0.00224465494742617
85,1,0,0,9,0.6563549768288433,0.0,0.12415905483067036,64.0,36.0,0.0,38.3,0.00224465494742617
86,0,1,0,37,0.653073201944699,0.0,0.139418602866285,62.0,38.0,0.0,38.68,0.00224465494742617
87,1,0,0,56,0.6498078359349755,0.0,0.15604580380022526,62.0,38.0,0.0,39.12,0.00224465494742617
88,0,1,0,31,0.6465587967553006,0.0,0.1446789288893342,60.0,40.0,0.0,38.86,0.00224465494742617
89,0,1,0,43,0.6433260027715241,0.0,0.13223064758560873,60.0,40.0,0.0,38.5,0.00224465494742617
90,0,1,0,50,0.6401093727576664,0.00042497075628489256,0.14582312178044093,57.99999999999999,42.0,0.0,38.28,0.002244454824831337
91,1,0,0,38,0.6369088258938781,0.0,0.13561786292120814,57.99999999999999,42.0,0.0,38.04,0.002244454824831337
92,0,1,0,37,0.6337242817644086,0.0,0.1390580183693341,56.00000000000001,44.0,0.0,37.78,0.002244454824831337
93,0,1,0,47,0.6305556603555866,0.0,0.13125418176253636,54.0,46.0,0.0,38.0,0.002244454824831337
94,1,0,0,10,0.6274028820538087,0.0,0.12726453319191933,54.0,46.0,0.0,37.62,0.002244454824831337
95,0,1,0,24,0.6242658676435396,0.0,0.13206965062353346,52.0,48.0,0.0,36.66,0.002244454824831337
96,0,1,0,15,0.6211445383053219,0.0,0.14173945784568787,50.0,50.0,0.0,35.9,0.002244454824831337
97,1,0,0,25,0.6180388156137953,0.0,0.1327427700161934,52.0,48.0,0.0,36.18,0.002244454824831337
98,1,0,0,28,0.6149486215357263,0.0,0.14149138890206814,54.0,46.0,0.0,36.52,0.002244454824831337
99,0,1,0,52,0.6118738784280476,0.0,0.14828669636145883,52.0,48.0,0.0,36.7,0.002244454824831337
100,1,0,0,35,0.6088145090359074,0.0006036406266503036,0.12302406463358137,52.0,48.0,0.0,35.98,0.00152257235837169
101,0,1,0,35,0.6057704364907278,0.0,0.14742695139004633,50.0,50.0,0.0,35.98,0.00152257235837169
102,1,0,0,31,0.6027415843082742,0.0,0.13403433726893532,50.0,50.0,0.0,35.58,0.00152257235837169
103,1,0,0,41,0.5997278763867329,0.0,0.14446825068444014,52.0,48.0,0.0,35.86,0.00152257235837169
104,1,0,0,63,0.5967292370047992,0.0,0.1470580198443853,52.0,48.0,0.0,36.56,0.00152257235837169
105,1,0,0,23,0.5937455908197752,0.0,0.1425983409086863,54.0,46.0,0.0,36.08,0.00152257235837169
106,0,1,0,14,0.5907768628656763,0.0,0.13642723858356476,52.0,48.0,0.0,35.44,0.00152257235837169
107,0,1,0,24,0.5878229785513479,0.0,0.1389577587445577,50.0,50.0,0.0,35.16,0.00152257235837169
108,0,1,0,84,0.5848838636585911,0.0,0.13270500302314758,50.0,50.0,0.0,35.58,0.00152257235837169
109,1,0,0,48,0.5819594443402982,0.0,0.14236811761345183,52.0,48.0,0.0,35.88,0.00152257235837169
110,1,0,0,57,0.5790496471185967,0.02267986722290516,0.14011141861026938,52.0,48.0,0.0,36.42,0.001437776406528428
